fips,district,year,enrollment,cs_score,locale,is_rural,enrollment_log10
4002370,Achille,2024,300,-0.1197902385492533,42-Rural: Distant,1,2.4771212547196626
4002370,Achille,2023,309,-0.2529432047288832,42-Rural: Distant,1,2.4899584794248346
4002370,Achille,2022,306,-0.0166637742708538,42-Rural: Distant,1,2.48572142648158
4002370,Achille,2019,321,-0.1458177427184235,42-Rural: Distant,1,2.506505032404872
4002370,Achille,2018,360,-0.1127723509923278,42-Rural: Distant,1,2.5563025007672873
4002370,Achille,2017,346,-0.263459440659282,42-Rural: Distant,1,2.5390760987927767
4002370,Achille,2016,324,0.0215794605902436,42-Rural: Distant,1,2.510545010206612
4002370,Achille,2015,314,-0.0697929135502073,42-Rural: Distant,1,2.496929648073215
4002370,Achille,2014,302,-0.0625374888069874,42-Rural: Distant,1,2.4800069429571505
4002430,Ada,2024,2660,-0.4552007460620131,33-Town: Remote,0,3.424881636631067
4002430,Ada,2023,2657,-0.5278941625871683,33-Town: Remote,0,3.4243915544102776
4002430,Ada,2022,2496,-0.5238066316231847,33-Town: Remote,0,3.397244581010386
4002430,Ada,2019,2551,-0.1907444474495696,33-Town: Remote,0,3.40671045860979
4002430,Ada,2018,2614,-0.20544873427457,33-Town: Remote,0,3.4173055832445254
4002430,Ada,2017,2637,-0.162156736811037,33-Town: Remote,0,3.4211101297934343
4002430,Ada,2016,2688,-0.0606772803036413,33-Town: Remote,0,3.429429264381788
4002430,Ada,2015,2739,0.0121620552816745,33-Town: Remote,0,3.4375920322539613
4002430,Ada,2014,2686,-0.078764883851184,33-Town: Remote,0,3.4291060083326967
4002460,Adair,2024,1042,0.0075454716261621,42-Rural: Distant,1,3.0178677189635055
4002460,Adair,2023,1041,-0.0116097051676561,42-Rural: Distant,1,3.017450729510536
4002460,Adair,2022,1060,-0.0409181313480104,42-Rural: Distant,1,3.0253058652647704
4002460,Adair,2019,1066,0.2602104274440174,42-Rural: Distant,1,3.0277572046905536
4002460,Adair,2018,1071,0.1962026405820332,42-Rural: Distant,1,3.029789470831856
4002460,Adair,2017,1073,0.3692073921098726,42-Rural: Distant,1,3.030599721965951
4002460,Adair,2016,1036,0.386764379255751,42-Rural: Distant,1,3.0153597554092144
4002460,Adair,2015,1051,0.2531728517873947,42-Rural: Distant,1,3.021602716028242
4002460,Adair,2014,1046,0.3348084821030659,42-Rural: Distant,1,3.0195316845312554
4002520,Afton,2024,449,0.0639403394229919,42-Rural: Distant,1,2.6522463410033232
4002520,Afton,2023,477,-0.0401911122741392,42-Rural: Distant,1,2.678518379040114
4002520,Afton,2022,459,-0.3351302905460687,42-Rural: Distant,1,2.661812685537261
4002520,Afton,2019,516,-0.2131212622819584,42-Rural: Distant,1,2.7126497016272113
4002520,Afton,2018,558,-0.2472245338737131,42-Rural: Distant,1,2.7466341989375787
4002520,Afton,2017,534,-0.3336853251589396,42-Rural: Distant,1,2.727541257028556
4002520,Afton,2016,555,-0.1086759150761391,42-Rural: Distant,1,2.7442929831226763
4002520,Afton,2015,565,-0.3197070800024335,42-Rural: Distant,1,2.7520484478194387
4002520,Afton,2014,534,-0.1964702227992617,42-Rural: Distant,1,2.727541257028556
4002550,Agra,2024,289,-0.4371034239444885,42-Rural: Distant,1,2.4608978427565478
4002550,Agra,2023,325,-0.6225750889849035,42-Rural: Distant,1,2.5118833609788744
4002550,Agra,2022,325,-0.5832391410926193,42-Rural: Distant,1,2.5118833609788744
4002550,Agra,2019,314,-0.2928493734912866,42-Rural: Distant,1,2.496929648073215
4002550,Agra,2018,328,-0.4530749491155575,42-Rural: Distant,1,2.515873843711679
4002550,Agra,2017,335,-0.4680635842237005,42-Rural: Distant,1,2.525044807036845
4002550,Agra,2016,331,-0.2994757108137515,42-Rural: Distant,1,2.519827993775719
4002550,Agra,2015,424,-0.3043367329993304,42-Rural: Distant,1,2.6273658565927325
4002550,Agra,2014,430,-0.3603448260595812,42-Rural: Distant,1,2.6334684555795866
4002580,Albion,2019,45,-0.439816953929806,43-Rural: Remote,1,1.6532125137753437
4002580,Albion,2018,63,-0.2066631917004328,43-Rural: Remote,1,1.7993405494535817
4002580,Albion,2017,50,-0.4427865612387554,43-Rural: Remote,1,1.6989700043360187
4002580,Albion,2016,73,-0.291173954469828,43-Rural: Remote,1,1.863322860120456
4002580,Albion,2015,78,-0.734948269980704,43-Rural: Remote,1,1.8920946026904804
4002580,Albion,2014,80,-0.9576275898109802,43-Rural: Remote,1,1.9030899869919435
4002670,Alex,2024,301,0.0332987361584799,42-Rural: Distant,1,2.4785664955938436
4002670,Alex,2023,304,0.2777914580418521,42-Rural: Distant,1,2.482873583608754
