fips,district,year,enrollment,cs_score
4000760,(Ilc) Atoka-Coal Counties,2025,NA,NA
4000760,(Ilc) Atoka-Coal Counties,2024,NA,NA
4000760,(Ilc) Atoka-Coal Counties,2023,NA,NA
4000760,(Ilc) Atoka-Coal Counties,2022,NA,NA
4000760,(Ilc) Atoka-Coal Counties,2021,NA,NA
4000760,(Ilc) Atoka-Coal Counties,2020,NA,NA
4000760,(Ilc) Atoka-Coal Counties,2019,NA,NA
4000760,(Ilc) Atoka-Coal Counties,2018,NA,NA
4000760,(Ilc) Atoka-Coal Counties,2017,NA,NA
4000760,(Ilc) Atoka-Coal Counties,2016,NA,NA
4000760,(Ilc) Atoka-Coal Counties,2015,NA,NA
4000790,Able Charter Able Learning,2025,NA,NA
4000790,Able Charter Able Learning,2024,NA,NA
4000790,Able Charter Able Learning,2023,NA,NA
4000790,Able Charter Able Learning,2022,NA,NA
4000790,Able Charter Able Learning,2021,NA,NA
4000790,Able Charter Able Learning,2020,NA,NA
4000790,Able Charter Able Learning,2019,NA,NA
4000790,Able Charter Able Learning,2018,NA,NA
4000790,Able Charter Able Learning,2017,59,NA
4000790,Able Charter Able Learning,2016,55,NA
4000790,Able Charter Able Learning,2015,NA,NA
4000803,Academy Of Seminole (Charter),2025,416,NA
4000803,Academy Of Seminole (Charter),2024,222,-0.1072983977380192
4000803,Academy Of Seminole (Charter),2023,274,-0.0596342118429223
4000803,Academy Of Seminole (Charter),2022,280,-0.3992350947108742
4000803,Academy Of Seminole (Charter),2021,295,NA
4000803,Academy Of Seminole (Charter),2020,283,NA
4000803,Academy Of Seminole (Charter),2019,29,NA
4000803,Academy Of Seminole (Charter),2018,NA,NA
4000803,Academy Of Seminole (Charter),2017,NA,NA
4000803,Academy Of Seminole (Charter),2016,NA,NA
4000803,Academy Of Seminole (Charter),2015,NA,NA
4002370,Achille,2025,285,NA
4002370,Achille,2024,300,-0.1197902385492533
4002370,Achille,2023,309,-0.2529432047288832
4002370,Achille,2022,306,-0.0166637742708538
4002370,Achille,2021,311,NA
4002370,Achille,2020,339,NA
4002370,Achille,2019,321,-0.1458177427184235
4002370,Achille,2018,360,-0.1127723509923278
4002370,Achille,2017,346,-0.263459440659282
4002370,Achille,2016,324,0.0215794605902436
4002370,Achille,2015,314,-0.0697929135502073
4002430,Ada,2025,2696,NA
4002430,Ada,2024,2660,-0.4552007460620131
4002430,Ada,2023,2657,-0.5278941625871683
4002430,Ada,2022,2496,-0.5238066316231847
4002430,Ada,2021,2423,NA
4002430,Ada,2020,2564,NA
4002430,Ada,2019,2551,-0.1907444474495696
4002430,Ada,2018,2614,-0.20544873427457
4002430,Ada,2017,2637,-0.162156736811037
4002430,Ada,2016,2688,-0.0606772803036413
4002430,Ada,2015,2739,0.0121620552816745
4002460,Adair,2025,988,NA
4002460,Adair,2024,1042,0.0075454716261621
4002460,Adair,2023,1041,-0.0116097051676561
4002460,Adair,2022,1060,-0.0409181313480104
4002460,Adair,2021,988,NA
4002460,Adair,2020,1069,NA
4002460,Adair,2019,1066,0.2602104274440174
4002460,Adair,2018,1071,0.1962026405820332
4002460,Adair,2017,1073,0.3692073921098726
4002460,Adair,2016,1036,0.386764379255751
4002460,Adair,2015,1051,0.2531728517873947
4002520,Afton,2025,407,NA
4002520,Afton,2024,449,0.0639403394229919
4002520,Afton,2023,477,-0.0401911122741392
4002520,Afton,2022,459,-0.3351302905460687
4002520,Afton,2021,458,NA
4002520,Afton,2020,478,NA
4002520,Afton,2019,516,-0.2131212622819584
4002520,Afton,2018,558,-0.2472245338737131
4002520,Afton,2017,534,-0.3336853251589396
4002520,Afton,2016,555,-0.1086759150761391
4002520,Afton,2015,565,-0.3197070800024335
4002550,Agra,2025,305,NA
4002550,Agra,2024,289,-0.4371034239444885
4002550,Agra,2023,325,-0.6225750889849035
4002550,Agra,2022,325,-0.5832391410926193
4002550,Agra,2021,321,NA
4002550,Agra,2020,296,NA
4002550,Agra,2019,314,-0.2928493734912866
4002550,Agra,2018,328,-0.4530749491155575
4002550,Agra,2017,335,-0.4680635842237005
4002550,Agra,2016,331,-0.2994757108137515
4002550,Agra,2015,424,-0.3043367329993304
4002580,Albion,2025,26,NA
4002580,Albion,2024,39,NA
4002580,Albion,2023,46,NA
4002580,Albion,2022,48,NA
4002580,Albion,2021,61,NA
