district_name,fips_full,year,enrollment,locale
(Ilc) Atoka-Coal Counties,4000760,2025,NA,NA
(Ilc) Atoka-Coal Counties,4000760,2024,NA,NA
(Ilc) Atoka-Coal Counties,4000760,2023,NA,NA
(Ilc) Atoka-Coal Counties,4000760,2022,NA,NA
(Ilc) Atoka-Coal Counties,4000760,2021,NA,NA
(Ilc) Atoka-Coal Counties,4000760,2020,NA,NA
(Ilc) Atoka-Coal Counties,4000760,2019,NA,NA
(Ilc) Atoka-Coal Counties,4000760,2018,NA,NA
(Ilc) Atoka-Coal Counties,4000760,2017,NA,NA
(Ilc) Atoka-Coal Counties,4000760,2016,NA,43-Rural: Remote
(Ilc) Atoka-Coal Counties,4000760,2015,NA,43-Rural: Remote
(Ilc) Atoka-Coal Counties,4000760,2014,NA,43-Rural: Remote
(Ilc) Atoka-Coal Counties,4000028,2025,NA,NA
(Ilc) Atoka-Coal Counties,4000028,2024,NA,NA
(Ilc) Atoka-Coal Counties,4000028,2023,NA,NA
(Ilc) Atoka-Coal Counties,4000028,2022,NA,NA
(Ilc) Atoka-Coal Counties,4000028,2021,NA,NA
(Ilc) Atoka-Coal Counties,4000028,2020,NA,NA
(Ilc) Atoka-Coal Counties,4000028,2019,NA,NA
(Ilc) Atoka-Coal Counties,4000028,2018,NA,NA
(Ilc) Atoka-Coal Counties,4000028,2017,NA,NA
(Ilc) Atoka-Coal Counties,4000028,2016,NA,NA
(Ilc) Atoka-Coal Counties,4000028,2015,NA,NA
(Ilc) Atoka-Coal Counties,4000028,2014,NA,NA
(Ilc) Five-Star,4000044,2025,NA,NA
(Ilc) Five-Star,4000044,2024,NA,NA
(Ilc) Five-Star,4000044,2023,NA,NA
(Ilc) Five-Star,4000044,2022,NA,NA
(Ilc) Five-Star,4000044,2021,NA,NA
(Ilc) Five-Star,4000044,2020,NA,NA
(Ilc) Five-Star,4000044,2019,NA,NA
(Ilc) Five-Star,4000044,2018,NA,NA
(Ilc) Five-Star,4000044,2017,NA,NA
(Ilc) Five-Star,4000044,2016,NA,NA
(Ilc) Five-Star,4000044,2015,NA,NA
(Ilc) Five-Star,4000044,2014,NA,NA
(Ilc) Mccurtain County/Mccare,4000023,2025,NA,NA
(Ilc) Mccurtain County/Mccare,4000023,2024,NA,NA
(Ilc) Mccurtain County/Mccare,4000023,2023,NA,NA
(Ilc) Mccurtain County/Mccare,4000023,2022,NA,NA
(Ilc) Mccurtain County/Mccare,4000023,2021,NA,NA
(Ilc) Mccurtain County/Mccare,4000023,2020,NA,NA
(Ilc) Mccurtain County/Mccare,4000023,2019,NA,NA
(Ilc) Mccurtain County/Mccare,4000023,2018,NA,NA
(Ilc) Mccurtain County/Mccare,4000023,2017,NA,NA
(Ilc) Mccurtain County/Mccare,4000023,2016,NA,NA
(Ilc) Mccurtain County/Mccare,4000023,2015,NA,NA
(Ilc) Mccurtain County/Mccare,4000023,2014,NA,NA
(Ilc) Osage County,4000025,2025,NA,NA
(Ilc) Osage County,4000025,2024,NA,NA
(Ilc) Osage County,4000025,2023,NA,NA
(Ilc) Osage County,4000025,2022,NA,NA
(Ilc) Osage County,4000025,2021,NA,NA
(Ilc) Osage County,4000025,2020,NA,NA
(Ilc) Osage County,4000025,2019,NA,NA
(Ilc) Osage County,4000025,2018,NA,NA
(Ilc) Osage County,4000025,2017,NA,NA
(Ilc) Osage County,4000025,2016,NA,NA
(Ilc) Osage County,4000025,2015,NA,NA
(Ilc) Osage County,4000025,2014,NA,NA
(Ilc) Seminole County,4000026,2025,NA,NA
(Ilc) Seminole County,4000026,2024,NA,NA
(Ilc) Seminole County,4000026,2023,NA,NA
(Ilc) Seminole County,4000026,2022,NA,NA
(Ilc) Seminole County,4000026,2021,NA,NA
(Ilc) Seminole County,4000026,2020,NA,NA
(Ilc) Seminole County,4000026,2019,NA,NA
(Ilc) Seminole County,4000026,2018,NA,NA
(Ilc) Seminole County,4000026,2017,NA,NA
(Ilc) Seminole County,4000026,2016,NA,NA
(Ilc) Seminole County,4000026,2015,NA,NA
(Ilc) Seminole County,4000026,2014,NA,NA
(Ilc) Tri-County,4000027,2025,NA,NA
(Ilc) Tri-County,4000027,2024,NA,NA
(Ilc) Tri-County,4000027,2023,NA,NA
(Ilc) Tri-County,4000027,2022,NA,NA
(Ilc) Tri-County,4000027,2021,NA,NA
(Ilc) Tri-County,4000027,2020,NA,NA
(Ilc) Tri-County,4000027,2019,NA,NA
(Ilc) Tri-County,4000027,2018,NA,NA
(Ilc) Tri-County,4000027,2017,NA,NA
(Ilc) Tri-County,4000027,2016,NA,NA
(Ilc) Tri-County,4000027,2015,NA,NA
(Ilc) Tri-County,4000027,2014,NA,NA
Able Charter Able Learning,4000790,2025,NA,NA
Able Charter Able Learning,4000790,2024,NA,NA
Able Charter Able Learning,4000790,2023,NA,NA
Able Charter Able Learning,4000790,2022,NA,NA
Able Charter Able Learning,4000790,2021,NA,NA
Able Charter Able Learning,4000790,2020,NA,NA
Able Charter Able Learning,4000790,2019,NA,NA
Able Charter Able Learning,4000790,2018,NA,NA
Able Charter Able Learning,4000790,2017,59,11-City: Large
Able Charter Able Learning,4000790,2016,55,11-City: Large
Able Charter Able Learning,4000790,2015,NA,NA
Able Charter Able Learning,4000790,2014,NA,NA
Academy Of Seminole (Charter),4000803,2025,416,32-Town: Distant
Academy Of Seminole (Charter),4000803,2024,222,32-Town: Distant
Academy Of Seminole (Charter),4000803,2023,274,32-Town: Distant
